title,price,property_type,location,publication_date,link,city
Affaire de 1070 mètre carré a,1819000.0,Autre,Hammam El Gheza,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376148,Hammam El Gheza
A hammamet nord  une vil,375000.0,Autre,Hammamet,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376144,Hammamet
Bonne affaire de 1070 mètre c,1819000.0,Autre,Hammam El Gheza,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376145,Hammam El Gheza
Belle opportunité d inve,63000.0,Autre,Hammam El Gheza,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376141,Hammam El Gheza
Villa lynda av996 ha,600000.0,Villa,Hammamet,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376140,Hammamet
Offre de 2350 mètre carré au,1410000.0,Autre,Kerkouane,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376139,Kerkouane
Terrain de 913 mètre carré a,730400.0,Terrain,Dar Allouche,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376137,Dar Allouche
Appt av carthage côté av hbib,110000.0,Autre,Bab Bhar,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376135,Bab Bhar
Occasion de 1000 mètre carré,90000.0,Autre,Hammam El Gheza,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376134,Hammam El Gheza
Villa à 2 étages indépendant,430000.0,Villa,La Mannouba,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3356054,La Mannouba
S plus 1 au rdc manouba,400.0,Autre,La Mannouba,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3346208,La Mannouba
S plus 1 residence,620.0,Autre,La Mannouba,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3358246,La Mannouba
S plus deux au centre ville,650.0,Autre,Bab Bhar,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376130,Bab Bhar
Une belle opportunité d inves,2132500.0,Autre,Kelibia,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376127,Kelibia
Des appartements meublés à ez,1000.0,Appartement,Ezzahra,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376125,Ezzahra
Appart trois pièces à tunis c,700.0,Appartement,El Medina,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376121,El Medina
Menzah 6 coquet studio bien s,799.0,Autre,El Menzah 6,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3352990,El Menzah 6
Fond tout commerce,190000.0,Autre,Cite Ennasr 2,18/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3334309,Cite Ennasr 2
Duplex s5 au rdc d'une réside,2600.0,Autre,El Menzah 4,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3370085,El Menzah 4
Un appartement s2 a jardin d',730.0,Appartement,Jardins d'el Me,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3371462,Jardins d'el Me
S1 de standing avec ppk,190000.0,Appartement,La Soukra,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376104,La Soukra
Appartement a manouba à,140000.0,Appartement,La Mannouba,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376102,La Mannouba
Fc  pizzaria   restau 47m2  l,100000.0,Autre,El Menzah 1,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3282098,El Menzah 1
Soukra  au choix  3 lots  670,735000.0,Autre,Chotrana 3,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3375248,Chotrana 3
Un appartement s2 meublé au r,900.0,Appartement,El Manar 2,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3363964,El Manar 2
Appartement a usage comm,1100.0,Appartement,Sidi Abbes,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376100,Sidi Abbes
À afh hammamet nord  un,1300.0,Autre,Hammamet,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376099,Hammamet
Un appartement s2 au red,1500.0,Appartement,Hammamet,17/01/2025,DetailsAnnonceImmobilier.asp?cod_ann=3376097,Hammamet
